Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,rec1,Jul/06/2025,13:40:38,247,732,979,0.747,2.963
2,11,high,j,uninoc,old,high,rec1,Jul/06/2025,13:40:45,158,465,623,0.746,2.943
3,12,low,k,inoc,new,high,rec1,Jul/06/2025,13:40:53,295,119,414,0.287,0.403
4,12,low,k,inoc,old,high,rec1,Jul/06/2025,13:41:02,196,472,668,0.706,2.408
5,13,low,k,uninoc,new,high,rec1,Jul/06/2025,13:41:11,241,561,802,0.699,2.327
6,13,low,k,uninoc,old,high,rec1,Jul/06/2025,13:41:21,233,376,609,0.617,1.613
7,14,low,k,inoc,new,high,rec1,Jul/06/2025,13:41:31,190,41,231,0.177,0.215
8,14,low,k,inoc,old,high,rec1,Jul/06/2025,13:42:08,121,236,357,0.661,1.95
9,15,low,k,uninoc,new,high,rec1,Jul/06/2025,13:42:18,152,69,221,0.312,0.453
10,15,low,k,uninoc,old,high,rec1,Jul/06/2025,13:42:34,205,704,909,0.774,3.434
11,16,high,i,inoc,new,high,rec1,Jul/06/2025,13:42:47,210,403,613,0.657,1.919
12,16,high,i,inoc,old,high,rec1,Jul/06/2025,13:42:57,309,980,1289,0.76,3.171
13,17,low,k,uninoc,new,high,rec1,Jul/06/2025,13:43:06,104,178,282,0.631,1.711
14,17,low,k,uninoc,old,high,rec1,Jul/06/2025,13:43:14,142,249,391,0.636,1.753
15,18,high,g,uninoc,new,high,rec1,Jul/06/2025,13:43:22,166,346,512,0.675,2.084
16,18,high,g,uninoc,old,high,rec1,Jul/06/2025,13:43:32,201,526,727,0.723,2.616
17,19,low,h,inoc,new,high,rec1,Jul/06/2025,13:43:43,124,143,267,0.535,1.153
18,19,low,h,inoc,old,high,rec1,Jul/06/2025,13:43:54,129,309,438,0.705,2.395
19,20,high,g,uninoc,old,mod,rec1,Jul/06/2025,13:44:16,63,59,122,0.483,0.936
20,20,high,g,uninoc,old,mod,rec1,Jul/06/2025,13:44:31,78,170,248,0.685,2.179
21,21,high,h,uninoc,old,mod,rec1,Jul/06/2025,13:44:43,277,409,686,0.596,1.476
22,21,high,h,uninoc,old,mod,rec1,Jul/06/2025,13:44:51,182,492,674,0.729,2.703
23,22,high,h,inoc,new,mod,rec1,Jul/06/2025,13:45:03,259,230,489,0.47,0.888
24,22,high,h,inoc,old,mod,rec1,Jul/06/2025,13:45:14,257,417,674,0.618,1.622
25,23,high,j,uninoc,new,mod,rec1,Jul/06/2025,13:45:27,60,311,371,0.838,5.183
26,23,high,j,uninoc,old,mod,rec1,Jul/06/2025,13:45:38,167,528,695,0.759,3.161
27,24,high,i,inoc,new,mod,rec1,Jul/06/2025,13:45:54,263,388,651,0.596,1.475
28,24,high,i,inoc,new,mod,rec1,Jul/06/2025,13:46:05,211,491,702,0.699,2.327
29,25,high,h,uninoc,new,mod,rec1,Jul/06/2025,13:46:16,284,217,501,0.433,0.764
30,25,high,h,uninoc,old,mod,rec1,Jul/06/2025,13:46:41,141,334,475,0.703,2.368
31,26,low,k,uninoc,new,mod,rec1,Jul/06/2025,13:46:52,202,234,436,0.536,1.158
32,26,low,k,uninoc,old,mod,rec1,Jul/06/2025,13:47:00,190,634,824,0.769,3.336
33,27,high,i,uninoc,new,mod,rec1,Jul/06/2025,13:47:10,158,218,376,0.579,1.379
34,27,high,i,uninoc,old,mod,rec1,Jul/06/2025,13:47:23,133,366,499,0.733,2.751
35,28,low,k,inoc,new,mod,rec1,Jul/06/2025,13:47:33,233,180,413,0.435,0.772
36,28,low,k,inoc,old,mod,rec1,Jul/06/2025,13:47:45,104,67,171,0.391,0.644
37,48,low,k,uninoc,new,control,rec1,Jul/06/2025,13:48:03,54,33,87,0.379,0.611
38,48,low,k,uninoc,old,control,rec1,Jul/06/2025,13:48:13,248,145,393,0.368,0.584
39,49,low,k,inoc,new,control,rec1,Jul/06/2025,13:48:23,196,86,282,0.304,0.438
40,49,low,k,inoc,old,control,rec1,Jul/06/2025,13:48:35,357,332,689,0.481,0.929
41,50,low,k,uninoc,new,control,rec1,Jul/06/2025,13:48:50,300,277,577,0.48,0.923
42,50,low,k,uninoc,old,control,rec1,Jul/06/2025,13:48:59,151,76,227,0.334,0.503
43,51,high,i,inoc,new,control,rec1,Jul/06/2025,13:49:10,316,222,538,0.412,0.702
44,51,high,i,inoc,old,control,rec1,Jul/06/2025,13:49:21,161,504,665,0.757,3.13
45,52,low,k,uninoc,old,control,rec1,Jul/06/2025,13:49:35,90,129,219,0.589,1.433
46,52,low,k,uninoc,old,control,rec1,Jul/06/2025,13:49:46,209,635,844,0.752,3.038
47,53,low,k,uninoc,new,control,rec1,Jul/06/2025,13:49:56,274,279,553,0.504,1.018
48,53,low,k,uninoc,old,control,rec1,Jul/06/2025,13:50:05,349,360,709,0.507,1.031
49,54,high,g,uninoc,new,control,rec1,Jul/06/2025,13:50:15,253,107,360,0.297,0.422
50,54,high,g,uninoc,old,control,rec1,Jul/06/2025,13:50:27,112,55,167,0.329,0.491
51,55,high,h,uninoc,new,control,rec1,Jul/06/2025,13:50:37,148,73,221,0.33,0.493
52,55,high,h,uninoc,old,control,rec1,Jul/06/2025,13:50:48,249,498,747,0.666,2
53,56,low,m,inoc,old,control,rec1,Jul/06/2025,13:50:56,171,143,314,0.455,0.836
54,56,low,m,inoc,old,control,rec1,Jul/06/2025,13:51:05,171,272,443,0.613,1.59
55,57,high,g,uninoc,old,control,rec1,Jul/06/2025,13:51:14,142,36,178,0.202,0.253
56,57,high,g,uninoc,old,control,rec1,Jul/06/2025,13:51:24,217,497,714,0.696,2.29
